codigo,dni,apellidos,nombre,direccion,provincia,sexo,formapago
62,25076596H,Berengueras Cullerés,Adrià,"Prol. Jacint Verdaguer , 1, 1R., 2A.",Zaragoza,Hombre,
63,18172824H,López De Pablo Garcia Uceda,Gerard,"Trabucaires , 12",Zaragoza,Hombre,
64,94719330V,Arnau Moreno,Eliot,"Jacint Verdaguer , 49, 4T., 2A.",Zaragoza,Hombre,
65,68152579Z,Raya Gavilan,Jordi,"Manelic , 1",Girona,Hombre,
66,53257213T,Zambudio Figuls,Lluís,"Verge De Fàtima , 6, Bx., 2A.",Madrid,Hombre,
67,89323483Q,Bidault Cullerés,Laura,"Sant Joan , 0, D, 3R. A",Madrid,Mujer,
68,30305456N,Biosca Fontanet,Jordi,"Galileu , 12",Tarragona,Hombre,
69,51705658W,Zafra Figuls,Dounya,"Esports , 12",Madrid,Mujer,
70,40432804T,Aleu Icart,Julio,"Josep Boixaderas , 1",Barcelona,Hombre,
71,08530094S,Badia Torné,Andreu,"Cervantes , 1, 1R.",Valencia,Hombre,
72,46941904P,Morales Gese,Ramon,"Cervantes , 9, 1R.",Girona,Hombre,
73,60044831L,Blanco Fontanet,David-Jese,"Joan Xxiii , 39",Valencia,Hombre,
74,42806069X,Alvarez Fernández,Aran,"Doctor Barnard , 10",Girona,Hombre,
75,27926280W,Garcia Almoguera,Gemma,"Esports , 12",Tarragona,Mujer,
76,03025064N,Libori Figueras,Ivan,"De La Pau , 8",Barcelona,Hombre,
77,08272111T,Bidault Pueyo,David,"Sant Valentí , 11",Valencia,Hombre,
78,92793871A,Benitez Jose,Xavier,"Prol. Padró , 1, 2N., 2A.",Lleida,Hombre,
79,09403162A,Pascual Flores,Mario,"Vic , 30 (Torroella)",Barcelona,Hombre,
80,04886981X,Ayala Torné,Jesus,"Sant Iscle , 6",Lleida,Hombre,
81,68631177M,Listan Figueras,Gemma,"Jaume Balmes , 70, 3R, 1A.",Tarragona,Mujer,
82,84183878Z,Rasero Gavilan,Silvia,"German Duran , 27, 3R., 1A.",Girona,Mujer,
83,19808463N,Arnalot Puig,Albert,"Sant Joan , 11",Zaragoza,Hombre,
84,76889680J,Moliner Garrido,Maria,"Puig , 1",Lleida,Mujer,
85,22445019D,Galobart Garcia,Berta,"Prol. Jacint Verdaguer , 1, 2N., 2A.",Madrid,Mujer,
86,Y3532269N,López Garrigassait,Berta,"Ramon I Cajal , 81, 2N.",Valencia,Mujer,
87,X6691969G,Sánchez Gómez,Mireia,"Moragues , 10",Lleida,Mujer,
88,Z2599796L,Alavedra Sunyé,Gemma,"Prol. Padró , 1, 3R., 2A.",Girona,Mujer,
89,Z9409720B,Aligué Bonvehí,Maria Isabel,"Francesc De Vitòria , 11, 4T 2A",Barcelona,Mujer,
90,X8844479J,Mas Franch,Toni,"Albéniz , 22, 2N.",Tarragona,Hombre,
91,Y6800388S,Aloy Compte,Alejandro,"Tres Roures , 10, 4T 2A",Barcelona,Hombre,
92,X7990513Z,Asensio Vega,Joan Martí,"Prol. Padró , 1, 2N., 1A.",Tarragona,Hombre,
93,Y5696509K,Bidault Pérez,Ingrid,"Albéniz , 13, 2N., 1A.",Girona,Mujer,
94,X5901688A,Aloy Codinachs,Oliver,"Font Del Gat , 1",Zaragoza,Hombre,
95,Y0750566K,Altimiras Armenteros,Sandra,"Montcau , 1",Lleida,Mujer,
96,Z9509455H,Belmonte Sánchez,Jordi,"Monturiol , 1",Lleida,Hombre,
97,X3515208A,Bajona Garcia,Marc,"Vilatorrada , 6",Lleida,Hombre,
98,Y0075870F,Aguilar Rodriguez,Jordina,"Jaume Galobart , 11",Valencia,Mujer,
99,Y4074883X,Barriga Soto,Maria José,"Sant Genís , 25",Valencia,Mujer,
100,Z7925019Y,Avila Masjuan,Raquel,"Verge De Fàtima , 2, 3R., 1A.",Barcelona,Mujer,
